Build Period,Lot Area,House Area,Year Sold,Sale Price
2000+,13615,4710.0,2007,372000
1960-1979,8816,2502.0,2010,155000
1960-1979,10050,2685.0,2007,175000
1960-1979,9230,3012.0,2006,146000
1940-1959,10150,2099.0,2007,114500
1940-1959,9525,3356.0,2006,136900
1940-1959,13284,3747.0,2008,165000
1960-1979,10921,2472.0,2007,94750
1940-1959,5350,2297.0,2010,76500
2000+,9742,4436.0,2008,230000
1980-1999,20544,3853.0,2008,215000
Pre 1940,8520,1703.0,2009,99500
1980-1999,10778,2727.0,2009,162000
2000+,11088,3358.0,2006,220000
1940-1959,39104,3268.0,2008,241500
1960-1979,9500,3385.0,2007,165000
2000+,3182,3036.0,2008,159895
1940-1959,9900,2842.0,2009,139500
2000+,9801,4257.0,2008,257000
Pre 1940,9900,1968.0,2009,129000
1960-1979,10456,4269.0,2010,218500
Pre 1940,7200,2739.0,2007,175000
1940-1959,11515,1251.0,2007,80000
1980-1999,12961,4039.0,2010,231000
1940-1959,6860,2324.0,2007,131000
1940-1959,5330,1292.0,2009,82500
1940-1959,15428,2038.0,2006,142000
1940-1959,19138,2128.0,2010,141000
1980-1999,21695,3436.0,2009,222000
2000+,9505,3545.0,2010,222500
1960-1979,10385,3335.0,2006,174000
1940-1959,10122,1259.0,2008,89900
Pre 1940,8400,3018.0,2008,179500
Pre 1940,26400,2592.0,2009,131000
1960-1979,8640,3260.0,2006,155000
2000+,9720,4313.0,2008,274000
2000+,11305,4801.0,2007,282000
1960-1979,11200,3196.0,2010,114000
2000+,8450,3175.0,2008,208500
Pre 1940,4571,2608.0,2007,114000
Pre 1940,6120,1818.0,2009,105000
2000+,12539,5790.0,2008,460000
1980-1999,8924,3406.0,2008,188000
2000+,10367,4622.0,2009,335000
1940-1959,6960,2206.0,2007,165250
1940-1959,11664,2534.0,2007,119200
1940-1959,7945,2600.0,2006,141000
Pre 1940,5790,2824.0,2010,107400
Pre 1940,7755,3924.0,2007,200000
1940-1959,9600,3120.0,2006,135000
2000+,11447,5085.0,2008,370000
2000+,11058,3966.0,2008,218836
2000+,11003,4056.0,2009,310000
Pre 1940,16560,3657.0,2006,239000
1960-1979,9819,2062.0,2010,122000
1940-1959,9000,660.0,2009,63900
1960-1979,7064,2636.0,2009,135000
1960-1979,6600,2080.0,2007,125500
1940-1959,9490,2624.0,2006,133000
1960-1979,9920,2242.0,2006,128500
Pre 1940,10800,3285.0,2006,170000
1960-1979,9200,2329.0,2008,130250
2000+,6931,3105.0,2008,165400
1980-1999,10186,3516.0,2010,190000
1940-1959,5830,2963.0,2010,128500
2000+,10000,4190.0,2007,227000
1980-1999,12464,2824.0,2009,152000
2000+,13072,2440.0,2008,146000
1960-1979,7832,2234.0,2010,137250
1960-1979,13517,2723.0,2010,130500
1960-1979,9204,2712.0,2008,124000
1960-1979,7244,2264.0,2007,129500
2000+,8450,3412.0,2007,179000
2000+,9375,3985.0,2009,263000
2000+,9100,3353.0,2009,178000
2000+,10237,2842.0,2007,176000
1940-1959,6000,2050.0,2008,120000
Pre 1940,10632,2093.0,2010,107500
1940-1959,9610,3025.0,2006,162000
Pre 1940,10410,2352.0,2009,135000
1980-1999,9556,2796.0,2007,160000
2000+,7750,2474.0,2009,184100
1960-1979,8120,2191.0,2009,124500
Pre 1940,11888,3479.0,2009,214500
1980-1999,7703,3165.0,2009,171500
1960-1979,9000,2256.0,2007,120500
1960-1979,13014,2756.0,2008,157500
Pre 1940,10690,2612.0,2009,147000
1940-1959,12508,3401.0,2008,160000
2000+,10872,3971.0,2009,300000
1960-1979,8000,4181.0,2007,240050
1960-1979,7400,2618.0,2006,120000
1940-1959,8172,2300.0,2006,115000
1960-1979,13050,2813.0,2006,164000
1980-1999,11675,5103.0,2008,350000
1960-1979,14149,2528.0,2007,165000
Pre 1940,9600,2424.0,2007,125000
Pre 1940,3153,2114.0,2007,99900
2000+,11645,4312.0,2006,260000
Pre 1940,12155,2554.0,2008,140000
Pre 1940,22420,4858.0,2007,239000
1960-1979,9620,3402.0,2010,190000
1980-1999,10010,4544.0,2008,287500
1940-1959,9492,2384.0,2007,105000
1980-1999,13015,2662.0,2006,145000
Pre 1940,4853,2663.0,2010,104000
2000+,13650,5045.0,2010,320000
1960-1979,13651,5262.0,2007,244000
Pre 1940,8212,1928.0,2010,58500
1960-1979,7791,2124.0,2009,129000
1940-1959,9600,2772.0,2009,129900
1940-1959,8050,2594.0,2010,136000
2000+,8918,2683.0,2009,167800
2000+,9171,3027.0,2006,201490
Pre 1940,5400,2981.0,2007,152000
1980-1999,11692,4366.0,2009,263550
2000+,9313,3407.0,2009,190000
1960-1979,8970,3473.0,2009,177500
1960-1979,7560,2304.0,2008,123000
1940-1959,11100,2813.0,2007,136500
1940-1959,8540,2254.0,2007,127000
2000+,8726,3418.0,2006,197000
1940-1959,7500,2773.0,2006,127000
1980-1999,11690,3323.0,2008,207000
2000+,14536,4305.0,2007,270000
1980-1999,12327,4629.0,2009,316600
1940-1959,9240,2429.0,2009,149500
1940-1959,9888,2112.0,2006,121000
1940-1959,12144,2184.0,2009,133000
1940-1959,10930,2759.0,2008,140000
1960-1979,7150,2336.0,2007,129250
Pre 1940,8777,2787.0,2006,98000
1980-1999,8125,2562.0,2009,174000
1980-1999,9017,3563.0,2009,192000
2000+,12728,4835.0,2007,275000
1960-1979,6760,2234.0,2007,130000
2000+,10574,4288.0,2009,252000
1980-1999,13125,4328.0,2007,238000
1980-1999,14419,4164.0,2009,213500
1940-1959,9084,1975.0,2008,95000
2000+,7226,3078.0,2008,183000
2000+,9487,3097.0,2007,187000
Pre 1940,8850,2774.0,2007,165000
Pre 1940,6240,2190.0,2009,103000
1940-1959,7227,2192.0,2008,105500
Pre 1940,14210,2953.0,2006,210000
1980-1999,8923,2418.0,2009,177500
1940-1959,7200,2642.0,2007,129000
1980-1999,8139,2811.0,2008,165000
Pre 1940,12320,2825.0,2006,199500
1960-1979,9790,3171.0,2009,161500
1960-1979,12250,2777.0,2008,158000
1960-1979,14137,3369.0,2008,173000
1980-1999,6600,1896.0,2008,130500
1940-1959,14778,3968.0,2008,224000
1980-1999,12890,3680.0,2008,150000
1940-1959,7200,2630.0,2007,102000
1960-1979,10682,2947.0,2009,127000
1980-1999,8846,2360.0,2006,148000
1940-1959,8064,2734.0,2010,132000
1960-1979,20062,4089.0,2010,270000
Pre 1940,7550,2593.0,2007,96000
Pre 1940,8239,2568.0,2010,100000
1940-1959,11341,3312.0,2010,121500
1960-1979,10355,2857.0,2007,143000
2000+,10574,4602.0,2008,316000
2000+,8778,4031.0,2007,221300
1980-1999,11404,4001.0,2008,222500
2000+,8688,4333.0,2006,232000
Pre 1940,11988,2615.0,2008,188700
Pre 1940,8600,2354.0,2006,119500
Pre 1940,5900,1309.0,2006,85500
2000+,13478,5516.0,2009,451950
Pre 1940,15660,3302.0,2008,311500
1940-1959,10000,2919.0,2006,148000
2000+,10125,3222.0,2009,195500
1940-1959,13680,2185.0,2009,139600
1960-1979,15957,4552.0,2007,188000
1940-1959,11767,2682.0,2009,120000
1960-1979,10650,2461.0,2010,128200
1980-1999,10784,2422.0,2007,160000
1940-1959,8635,2197.0,2008,127000
1940-1959,3880,1652.0,2007,110500
1940-1959,8400,2106.0,2009,82000
2000+,9808,3762.0,2009,227000
2000+,9317,3090.0,2007,176432
2000+,11069,2580.0,2009,170000
2000+,13128,3784.0,2006,250000
1980-1999,13837,4173.0,2006,229000
2000+,12151,5003.0,2008,379000
Pre 1940,8960,2396.0,2010,115000
2000+,13450,3506.0,2006,200000
1940-1959,11765,4377.0,2006,169000
1940-1959,9736,3516.0,2007,174850
1940-1959,8400,3172.0,2010,145000
Pre 1940,9600,2915.0,2006,178000
1960-1979,13200,3803.0,2007,202500
2000+,12328,4571.0,2007,349265
1960-1979,6970,2872.0,2007,129000
1940-1959,5820,2785.0,2006,126175
Pre 1940,7155,2156.0,2009,137000
1940-1959,6410,2072.0,2009,85000
2000+,9345,4292.0,2008,248500
2000+,11563,3869.0,2008,294000
1960-1979,8892,2665.0,2007,126500
2000+,12665,4401.0,2007,281213
Pre 1940,7200,2970.0,2006,157000
1960-1979,8723,2695.0,2007,162500
2000+,7750,2428.0,2007,162000
1960-1979,12936,3025.0,2009,162000
1960-1979,13384,2960.0,2006,140000
1960-1979,7200,2025.0,2006,119900
Pre 1940,8263,2354.0,2007,118400
1960-1979,12772,2217.0,2007,151500
1940-1959,5000,3112.0,2006,159000
1940-1959,11029,3250.0,2008,176500
Pre 1940,4388,1512.0,2007,87000
2000+,14331,4713.0,2006,312500
1960-1979,8800,2814.0,2007,163500
1980-1999,7655,3311.0,2007,168000
Pre 1940,5825,1875.0,2006,79900
Pre 1940,8400,3793.0,2008,136500
2000+,7500,2948.0,2009,152000
1980-1999,10790,4209.0,2007,252000
1960-1979,8544,2792.0,2008,149350
2000+,10463,3610.0,2006,239900
1980-1999,8702,3036.0,2008,187500
Pre 1940,10570,4094.0,2007,315000
Pre 1940,9600,2907.0,2009,87500
1940-1959,5000,2122.0,2008,124000
2000+,18261,5085.0,2006,470000
Pre 1940,10800,2754.0,2010,139000
1940-1959,13008,2266.0,2009,124500
1980-1999,8780,1666.0,2009,112000
1940-1959,8760,2856.0,2009,150000
1980-1999,10208,4717.0,2009,265000
2000+,10625,4233.0,2008,256000
1980-1999,13005,4165.0,2009,260000
1960-1979,20270,3666.0,2008,245000
1940-1959,7700,2130.0,2006,127000
2000+,7314,3228.0,2009,194500
2000+,12774,3212.0,2008,192500
1960-1979,12122,2751.0,2008,178400
1960-1979,9945,2548.0,2007,128500
1940-1959,10200,2662.0,2010,144900
1960-1979,6953,2090.0,2010,130000
1940-1959,9920,2399.0,2010,128000
1940-1959,10800,2881.0,2009,133500
1960-1979,9170,2889.0,2007,140000
1960-1979,8197,2611.0,2007,143500
2000+,16900,4934.0,2008,421250
1980-1999,11457,3380.0,2009,175000
1960-1979,9750,2498.0,2009,156450
Pre 1940,8854,2194.0,2009,121000
2000+,10261,3179.0,2008,186500
2000+,8791,3537.0,2008,207500
1940-1959,8154,1220.0,2010,82000
2000+,8158,3258.0,2008,224900
2000+,9045,2744.0,2007,167000
2000+,11578,4715.0,2009,360000
1980-1999,8400,2522.0,2009,189000
2000+,13543,4575.0,2008,355000
2000+,10206,4127.0,2008,245000
Pre 1940,6600,4085.0,2009,107500
1980-1999,9839,3718.0,2009,204000
2000+,13695,2906.0,2008,159000
1940-1959,9840,3318.0,2008,185000
1960-1979,8700,2985.0,2008,155000
1960-1979,7200,2377.0,2006,97500
Pre 1940,7264,3246.0,2009,205000
2000+,14157,4749.0,2007,377426
1960-1979,25286,2752.0,2007,132250
1940-1959,10206,1472.0,2009,82000
2000+,16285,3481.0,2009,187100
1940-1959,9750,3185.0,2007,157900
1960-1979,11677,2434.0,2007,123000
Pre 1940,6240,2541.0,2008,123000
Pre 1940,5280,1842.0,2008,89000
1940-1959,10152,2402.0,2007,135000
1960-1979,7150,2072.0,2009,100000
Pre 1940,7740,2513.0,2010,125500
1940-1959,9855,3605.0,2009,127500
1960-1979,16300,2091.0,2007,130000
1960-1979,9360,3126.0,2009,173000
1960-1979,9350,3436.0,2009,153000
1960-1979,8991,3580.0,2007,174000
2000+,10142,3703.0,2010,233000
1960-1979,7200,2603.0,2009,123000
Pre 1940,6000,2932.0,2006,110500
Pre 1940,13053,3051.0,2008,207000
2000+,10141,4115.0,2009,203000
1980-1999,11492,3668.0,2009,220000
1960-1979,11075,3920.0,2008,206900
1980-1999,10029,3960.0,2007,211000
1980-1999,6264,3874.0,2008,247900
1960-1979,16659,3847.0,2006,235000
1940-1959,5925,920.0,2009,45000
Pre 1940,7200,2835.0,2006,155500
Pre 1940,16287,2828.0,2007,122000
1980-1999,11787,4910.0,2007,315750
1960-1979,8499,2772.0,2009,141000
2000+,12450,2846.0,2009,153000
1960-1979,17542,4144.0,2007,294000
Pre 1940,4480,2350.0,2007,89500
1980-1999,8750,3438.0,2009,200000
Pre 1940,9928,2884.0,2009,179900
1940-1959,13825,2748.0,2008,140000
Pre 1940,11414,3923.0,2009,167500
1960-1979,14112,3015.0,2010,180500
1940-1959,6000,2083.0,2008,107900
1980-1999,8740,2228.0,2009,137000
1940-1959,14762,3203.0,2006,169000
Pre 1940,5707,2430.0,2009,105000
1980-1999,18265,3372.0,2008,180000
1960-1979,31770,3536.0,2010,215000
Pre 1940,6130,1568.0,2008,109500
1940-1959,6000,2904.0,2008,164900
1940-1959,5400,2127.0,2007,118000
1980-1999,14000,4439.0,2010,328000
1960-1979,11000,2814.0,2007,135000
Pre 1940,10020,1587.0,2009,61000
1960-1979,10738,2894.0,2007,158500
2000+,8736,3974.0,2009,234500
1980-1999,29959,3556.0,2009,248000
Pre 1940,6291,1976.0,2008,93850
2000+,6762,3193.0,2010,206000
1960-1979,13383,3112.0,2009,160000
2000+,11670,4789.0,2007,320000
1940-1959,9000,1714.0,2009,113500
2000+,12456,4468.0,2009,337500
Pre 1940,10200,1344.0,2009,75000
